id	filename	md5	size	state
00011154-9a17-45bf-8ffe-dd7c09adabda	00011154-9a17-45bf-8ffe-dd7c09adabda/1a13663e-9015-4eeb-ab6a-8f40a8bbf403.FPKM.txt.gz	d9e2c8f09475bdb7246514e4168cc368	503188	validated
002f0cce-4af6-4d78-bb1d-f6a166876c74	002f0cce-4af6-4d78-bb1d-f6a166876c74/b9f01695-4449-4301-ada1-98319e2afc48.FPKM.txt.gz	6d4fd02524f5c6779a55c43f99675cf1	332470	validated
00782bca-2793-40a5-bfc9-33daebb8712e	00782bca-2793-40a5-bfc9-33daebb8712e/a4b9a319-8f66-494e-8ada-530a1e8145d7.FPKM.txt.gz	0f63a2a5c2b0c91e99dd120be8f16b6c	502721	validated
00a4165b-f4ab-49ba-9f38-04569b949995	00a4165b-f4ab-49ba-9f38-04569b949995/438e23c7-f71b-436b-8270-9cbfcf283925.FPKM.txt.gz	03052056ddcc57133ae38bbd952945df	512253	validated
00dd8fda-5076-40b8-9cc0-26d09f774e57	00dd8fda-5076-40b8-9cc0-26d09f774e57/f7a69289-c9bb-47f4-af4a-94952f7724b3.FPKM.txt.gz	ff8d777b1357d1ce5797bd9975b2a493	302070	validated
00ed4b5b-031a-416a-8a34-df5d4385c168	00ed4b5b-031a-416a-8a34-df5d4385c168/f9f3e08b-b3a2-4843-9e4a-9d115bce83c7.FPKM.txt.gz	4b323606689152b422125c04f18b4d16	516576	validated
01054be6-998d-421f-97cb-533d9d23f75f	01054be6-998d-421f-97cb-533d9d23f75f/fcd37843-e471-4fc3-a4fd-da8d161d36e4.FPKM.txt.gz	47ffb89dc71233b8b63aca7f6afdf9a7	516613	validated
012e5632-e932-4b24-be77-34eac2162e07	012e5632-e932-4b24-be77-34eac2162e07/92de83d1-ba60-413c-8d21-d066505fe306.FPKM.txt.gz	6169c34f6c1685c6ac5cfd251c9aafb4	523949	validated
012fa3dc-aecb-4e7d-91d2-748a9dc540e7	012fa3dc-aecb-4e7d-91d2-748a9dc540e7/a8165949-f924-4c32-8ccf-4109d2899e66.FPKM.txt.gz	efe3f7e6e655daa9404e52cf163a460b	512517	validated
013e1ebc-9bde-4599-b578-e3cd93a957d7	013e1ebc-9bde-4599-b578-e3cd93a957d7/ea99ef5d-8dec-482f-9f7b-9091fd418ff7.FPKM.txt.gz	f12166cad9c1b720ef4944d7b89de1f3	315473	validated
017bc53d-88a5-4b8e-887c-b464a93d980e	017bc53d-88a5-4b8e-887c-b464a93d980e/bfd8c6e2-15cc-48ae-a4a3-722ab3527fb9.FPKM.txt.gz	fea058f9a9ffb8cc39ebd2df00d22600	513977	validated
01baf704-83a8-4ee3-94dd-781872799c9d	01baf704-83a8-4ee3-94dd-781872799c9d/5f32a811-87ba-4597-8794-8411bf2a4271.FPKM.txt.gz	8fc0f70490e29781d0da99177d0310b6	485291	validated
01cfaa79-96ca-44ac-9f8a-614520c57717	01cfaa79-96ca-44ac-9f8a-614520c57717/956e52f2-475c-4aa3-9e99-0912e4612314.FPKM.txt.gz	832c1456ef6e702d091845f3d70ce53d	513391	validated
01f76df2-6ecc-40b6-adc9-33c352a50e69	01f76df2-6ecc-40b6-adc9-33c352a50e69/432bfb40-6587-4393-89b8-456e639152e8.FPKM.txt.gz	5cfeb1a97261c7e91238fdcefb497ec2	522952	validated
024420b3-7101-4b08-b69d-521cf282c6c1	024420b3-7101-4b08-b69d-521cf282c6c1/df573c90-44cf-4409-b92f-f6c8aaf01737.FPKM.txt.gz	3f09155b24db79c6b666c76dbd863840	507634	validated
0274fd1e-83e8-45f3-8034-4400b6daabba	0274fd1e-83e8-45f3-8034-4400b6daabba/72c70900-f879-4519-8bc4-23483122c2e5.FPKM.txt.gz	f18a8e3f6af653238b916f57b52e6aa4	496733	validated
02d78873-a23d-4d0b-a4d7-934110d70447	02d78873-a23d-4d0b-a4d7-934110d70447/ef65e6dd-32c1-4ef6-9f9d-8fefe5110ae7.FPKM.txt.gz	4821eadf84723c70032061217f63f9a9	327951	validated
02e686d2-15be-4e12-a026-f7af72a1f270	02e686d2-15be-4e12-a026-f7af72a1f270/7a3c64e7-98bc-4cbf-8a2a-0c3314d46ad2.FPKM.txt.gz	2f902a5988160d25b02f96f1f7705873	528818	validated
02f5319b-f9f7-4efb-b9f1-ebf7c470d0ea	02f5319b-f9f7-4efb-b9f1-ebf7c470d0ea/f29a555a-3fb8-47a0-ac54-01811b6ad192.FPKM.txt.gz	d2ebb61e4405d3ca6ee55224d931121a	533246	validated
0334c93d-da3a-4ee1-a63c-59d308ffceec	0334c93d-da3a-4ee1-a63c-59d308ffceec/67de4131-2f71-415f-bac1-33bc14f6438e.FPKM.txt.gz	a98e6af539ef717da4f74bc78f53a916	547852	validated
033a3728-a55c-4d7b-bffb-dd4990684f38	033a3728-a55c-4d7b-bffb-dd4990684f38/a73b7250-3437-4279-b3e1-1add31d7b3fc.FPKM.txt.gz	abd2f05b7d29a10b45efb0b3db42c32b	532609	validated
034f61ce-7f98-449d-9b16-e288095eae01	034f61ce-7f98-449d-9b16-e288095eae01/24ea6387-5374-403a-adf6-536efbdde897.FPKM.txt.gz	6e765a5e882e3296181671b6e709ba98	316161	validated
03681aee-cdf6-4534-b61d-f8780603d040	03681aee-cdf6-4534-b61d-f8780603d040/e7f07f98-8dbf-4884-8d45-318671c15c98.FPKM.txt.gz	c03695a199fb6aadf56785b2289694bb	533726	validated
038ffb3a-966d-4d50-b525-2be95923ca33	038ffb3a-966d-4d50-b525-2be95923ca33/7c41c293-4435-4ee7-bc67-132e9f69b692.FPKM.txt.gz	d0101fefb49e63fe9eaf489304e533ba	332899	validated
03c91401-0a8d-4bd5-b67e-e976c909d0be	03c91401-0a8d-4bd5-b67e-e976c909d0be/46649617-64ad-4fdb-9266-150e2fc6a54d.FPKM.txt.gz	7e9b7589dc219a25348f183d8277f251	525428	validated
03d6f833-1354-4d77-941a-969afa2eae87	03d6f833-1354-4d77-941a-969afa2eae87/10a93ff8-e2cd-4f1d-acb8-ae4ccd5fecdb.FPKM.txt.gz	c5598ca8cda08b62b510b9f54792ac6a	500554	validated
044f2d72-fd59-49a4-a58c-ee39c57e854c	044f2d72-fd59-49a4-a58c-ee39c57e854c/058cd3b2-9f0c-4f2b-8ee7-0362827c78b7.FPKM.txt.gz	d0c1c4f0548794fa098ccf2d96152b00	311224	validated
047a87a6-2890-4701-acb5-2d8422eda38c	047a87a6-2890-4701-acb5-2d8422eda38c/28586c19-51ef-4fb2-b324-1ffee3ad2c71.FPKM.txt.gz	cfa9a1f000e73d541d8120811794a00f	325349	validated
04860165-81aa-4dd4-82bf-92b806af51bf	04860165-81aa-4dd4-82bf-92b806af51bf/631a4c93-c41d-4ca3-84c7-6f6ad226397a.FPKM.txt.gz	93d226c32248aede802df21658168086	519371	validated
04b16721-d9e2-48b1-8949-f30f43ca8e31	04b16721-d9e2-48b1-8949-f30f43ca8e31/ec240723-a6d1-484c-9103-92a709dd86f1.FPKM.txt.gz	b27d20c7e995e7be3bd4c50e3dc935a3	511520	validated
